id,description,title,repin_count,text
188658671886702778,"For that sleek, put-together ""clean girl"" aesthetic you've been seeing all over TikTok, check out our new arrivals for elevated blazers and oversized trousers to capture that look.","Here's How To Dress In The ""Clean Girl"" Aesthetic",3,"Here's How To Dress In The ""Clean Girl"" Aesthetic. For that sleek, put-together ""clean girl"" aesthetic you've been seeing all over TikTok, check out our new arrivals for elevated blazers and oversized trousers to capture that look."
188658671886700916,"Vibrant jackets, statement coats, and transitional outerwear awaits! Click here to check out our curated edit of chic pieces you need to stand out as we enter spring.",Shop Colorful Outerwear And Lightweight Jackets As We Transition To Spring,5,"Shop Colorful Outerwear And Lightweight Jackets As We Transition To Spring. Vibrant jackets, statement coats, and transitional outerwear awaits! Click here to check out our curated edit of chic pieces you need to stand out as we enter spring."
188658671886697048,"This coveted spring and summer accessory can do no wrong, but what can make the beloved basket bag even better? Going hands-free. Our exclusive Hero from buzzy brand Cesta Collective is a chic crossbody style that allows versatile functionality at its best. Handwoven with locally sourced, renewable resources by talented female artisans in Rwanda and then handfinished in Italy, each piece is a meaningful must-have.","Shop This Chic, Crossbody Basket Bag for All Your Spring Events",2,"Shop This Chic, Crossbody Basket Bag for All Your Spring Events. This coveted spring and summer accessory can do no wrong, but what can make the beloved basket bag even better? Going hands-free. Our exclusive Hero from buzzy brand Cesta Collective is a chic crossbody style that allows versatile functionality at its best. Handwoven with locally sourced, renewable resources by talented female artisans in Rwanda and then handfinished in Italy, each piece is a meaningful must-have."
188658671886697037,"This coveted spring and summer accessory can do no wrong, but what can make the beloved basket bag even better? Going hands-free. Our exclusive Hero from buzzy brand Cesta Collective is a chic crossbody style that allows versatile functionality at its best. Handwoven with locally sourced, renewable resources by talented female artisans in Rwanda and then handfinished in Italy, each piece is a meaningful must-have.","Shop This Chic, Crossbody Basket Bag for All Your Spring Events",2,"Shop This Chic, Crossbody Basket Bag for All Your Spring Events. This coveted spring and summer accessory can do no wrong, but what can make the beloved basket bag even better? Going hands-free. Our exclusive Hero from buzzy brand Cesta Collective is a chic crossbody style that allows versatile functionality at its best. Handwoven with locally sourced, renewable resources by talented female artisans in Rwanda and then handfinished in Italy, each piece is a meaningful must-have."
188658671886693466,"Though it's almost spring, we can still feel a harsh chill outside at times, so don't stop shopping for jackets just yet! This transitional period is perfect to try out new outerwear you'll want to try out later in the year.",Shop Outerwear And Jackets For The Start Of Spring,8,"Shop Outerwear And Jackets For The Start Of Spring. Though it's almost spring, we can still feel a harsh chill outside at times, so don't stop shopping for jackets just yet! This transitional period is perfect to try out new outerwear you'll want to try out later in the year."
188658671886692358,"All of our spring outfit inspiration is coming from the Fashion Month street style imagery, so you know metallic dresses are on our ""must have"" list. If you're looking for seasonal dresses that you can wear casually or formally, click here.",Statement Dresses You Need To Buy For Spring,2,"Statement Dresses You Need To Buy For Spring. All of our spring outfit inspiration is coming from the Fashion Month street style imagery, so you know metallic dresses are on our ""must have"" list. If you're looking for seasonal dresses that you can wear casually or formally, click here."
188658671886688429,"Whatever your aesthetic may be, you'll find your new favorite piece in your closet from our new arrivals, updated weekly. Shop sequin skirts, metallic shoes, studded bags, unconventional denim, and so much more.",Shop For Your Dream Aesthetic With Designer Fashion Here,4,"Shop For Your Dream Aesthetic With Designer Fashion Here. Whatever your aesthetic may be, you'll find your new favorite piece in your closet from our new arrivals, updated weekly. Shop sequin skirts, metallic shoes, studded bags, unconventional denim, and so much more."
188658671886684937,"Find metallic dresses and other shining designs for all of your spring events to make sure all eyes are on you. Shop Paco Rabanne, Leo Lin, Jacquemus, and other brands you love for your upcoming RSVPs.",Shop Sequin Cocktail Dresses & Stunning Gowns,4,"Shop Sequin Cocktail Dresses & Stunning Gowns. Find metallic dresses and other shining designs for all of your spring events to make sure all eyes are on you. Shop Paco Rabanne, Leo Lin, Jacquemus, and other brands you love for your upcoming RSVPs."
188658671886681381,"Sheer dressing is all the rage right now, all over the Fashion Month runways and corresponding street style outfits, and we're loving it. Shop dresses here and find your new favorite sheer look.",Sheer Dresses and Other Chic Picks,1,"Sheer Dresses and Other Chic Picks. Sheer dressing is all the rage right now, all over the Fashion Month runways and corresponding street style outfits, and we're loving it. Shop dresses here and find your new favorite sheer look."
188658671886678840,"Preppy goth is coming back into the mainstream, and we're loving it. It's sexy, it's dark, and it perfectly complements the dark academia aesthetic everyone adores. Shop black dresses here to get started on your new Wednesday Addams-inspired look.",Get Started On The Preppy Goth Aesthetic With Black Dresses,2,"Get Started On The Preppy Goth Aesthetic With Black Dresses. Preppy goth is coming back into the mainstream, and we're loving it. It's sexy, it's dark, and it perfectly complements the dark academia aesthetic everyone adores. Shop black dresses here to get started on your new Wednesday Addams-inspired look."
188658671886677924,"Your winter-to-spring transitional style is in need of an upgrade—thankfully, our editors have the latest and greatest coming in weekly to our new arrivals from luxury brands you adore to do just that. Shop lightweight jackets, baggy shorts, beachy bags, neutral espadrilles, and more to prepare for the warmer season ahead.",How To Dress For Transitional Weather,2,"How To Dress For Transitional Weather. Your winter-to-spring transitional style is in need of an upgrade—thankfully, our editors have the latest and greatest coming in weekly to our new arrivals from luxury brands you adore to do just that. Shop lightweight jackets, baggy shorts, beachy bags, neutral espadrilles, and more to prepare for the warmer season ahead."
188658671886674698,"Make an entrance with boots that demand attention. One elevated aspect of your favorite style can really make a difference to the whole look, like pairing thigh-high black boots with a relatively casual outfit, ultimately making the whole ensemble appear more edgy. Shop for boots of every color, size, shape here, and find what stands out to you.",Women's Boots That'll Have You Ready For Spring,2,"Women's Boots That'll Have You Ready For Spring. Make an entrance with boots that demand attention. One elevated aspect of your favorite style can really make a difference to the whole look, like pairing thigh-high black boots with a relatively casual outfit, ultimately making the whole ensemble appear more edgy. Shop for boots of every color, size, shape here, and find what stands out to you."
